kind	path	token	reason
comment	dev/abimangle.cpp	PA9	assignment boundary or compatibility note
comment	dev/cppgm++.cpp	PA5	assignment boundary or compatibility note
comment	dev/lowir2native.cpp	PA24	assignment boundary or compatibility note
comment	dev/lowiropt.cpp	PA32	assignment boundary or compatibility note
comment	dev/src/abi/itanium/abi_mangle.h	PA9	assignment boundary or compatibility note
comment	dev/src/abi/itanium/abi_mangle_expression.h	PA9	assignment boundary or compatibility note
comment	dev/src/abi/itanium/abi_mangle_reference.h	PA9	assignment boundary or compatibility note
comment	dev/src/abi/itanium/abi_mangle_terminal.h	PA9	assignment boundary or compatibility note
comment	dev/src/backend_variant.h	PA33	assignment boundary or compatibility note
comment	dev/src/lowering/api.h	PA7	assignment boundary or compatibility note
comment	dev/src/lowering/api.h	PA10	assignment boundary or compatibility note
comment	dev/src/lowir/model/program.h	PA8	assignment boundary or compatibility note
comment	dev/src/lowir/optimize/inline_o1.cpp	PA32	assignment boundary or compatibility note
comment	dev/src/lowir_model.h	PA8	assignment boundary or compatibility note
comment	dev/src/native/allocation/linear_scan.cpp	PA33	assignment boundary or compatibility note
comment	dev/src/native/allocation/planning_seam.h	PA33	assignment boundary or compatibility note
comment	dev/src/native/encoding/instructions.cpp	PA27	assignment boundary or compatibility note
comment	dev/src/native/mir/optimize.cpp	PA24	assignment boundary or compatibility note
comment	dev/src/native/mir/optimize.cpp	PA33	assignment boundary or compatibility note
comment	dev/src/preprocess/expressions/control_expression.cpp	PA1	assignment boundary or compatibility note
comment	dev/src/preprocess/expressions/control_expression.cpp	PA3	assignment boundary or compatibility note
comment	dev/src/preprocess/expressions/control_expression.h	PA2	assignment boundary or compatibility note
comment	dev/src/preprocess/expressions/control_expression.h	PA3	assignment boundary or compatibility note
comment	dev/src/preprocess/macros/macro_processor.h	PA2	assignment boundary or compatibility note
comment	dev/src/preprocess/macros/macro_processor.h	PA4	assignment boundary or compatibility note
comment	dev/src/preprocess/macros/macro_processor.h	PA5	assignment boundary or compatibility note
comment	dev/src/preprocess/tokens/IPPTokenStream.h	PA1	assignment boundary or compatibility note
comment	dev/src/preprocess/tokens/IPPTokenStream.h	PA4	assignment boundary or compatibility note
comment	dev/src/preprocess/tokens/post_tokenizer.h	PA1	assignment boundary or compatibility note
comment	dev/src/preprocess/tokens/post_tokenizer.h	PA2	assignment boundary or compatibility note
comment	dev/src/preprocess/tokens/post_tokenizer.h	PA3	assignment boundary or compatibility note
comment	dev/src/preprocess/tokens/pp_tokenizer.cpp	PA2	assignment boundary or compatibility note
comment	dev/src/semantic/analysis/analyzer.cpp	PA29	assignment boundary or compatibility note
comment	dev/src/semantic/constants/analysis.cpp	PA10	assignment boundary or compatibility note
comment	dev/src/semantic/constants/analysis.cpp	PA16	assignment boundary or compatibility note
comment	dev/src/semantic/declarations/analysis.cpp	PA7	assignment boundary or compatibility note
comment	dev/src/semantic/extensions/range_for.cpp	PA20	assignment boundary or compatibility note
comment	dev/src/semantic/initialization/allocation.cpp	PA18	assignment boundary or compatibility note
comment	dev/src/semantic/lifetime/special_members.cpp	PA12	assignment boundary or compatibility note
comment	dev/src/semantic/model/graph.h	PA7	assignment boundary or compatibility note
comment	dev/src/semantic/model/graph.h	PA20	assignment boundary or compatibility note
comment	dev/src/semantic/presentation/type_projection.cpp	PA6	assignment boundary or compatibility note
comment	dev/src/semantic/semantic.h	PA5	assignment boundary or compatibility note
comment	dev/src/semantic/semantic.h	PA7	assignment boundary or compatibility note
comment	dev/src/semantic/templates/aliases_and_lambdas.cpp	PA20	assignment boundary or compatibility note
comment	dev/src/semantic/templates/ambiguities.cpp	PA5	assignment boundary or compatibility note
comment	dev/src/semantic/templates/validation.cpp	PA5	assignment boundary or compatibility note
comment	dev/src/semantic/type_view.h	PA5	assignment boundary or compatibility note
comment	dev/src/semantic/type_view.h	PA6	assignment boundary or compatibility note
comment	dev/src/syntax/syntax.h	PA5	assignment boundary or compatibility note
diagnostic	dev/cppgm++.cpp	pa5_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa6_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa7_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa10_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa25_compile_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa25_driver_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa26_object_stats	stable emitted statistics key
diagnostic	dev/cppgm++.cpp	pa29_preproc_stats	stable emitted statistics key
diagnostic	dev/src/lowir/driver/stats_report.cpp	pa10_retained_fallback	stable emitted statistics key
diagnostic	dev/src/lowir/driver/stats_report.cpp	pa10_unreachable_internal	stable emitted statistics key
diagnostic	dev/src/lowir/driver/stats_report.cpp	pa32_opt_stats	stable emitted statistics key
diagnostic	dev/src/lowir/driver/stats_report.cpp	pa32_prepare_stats	stable emitted statistics key
error-prose	dev/src/lowering/abi/mangling.cpp	PA10	existing diagnostic prose; output contract
